com,meanUVAJAN01APR30
66065,796.9511593
66066,749.2307797
66067,808.1658305
6075,668.5822373
93008,703.2828203
93009,678.2696542
93015,694.8203797
93016,683.7344542
17049,701.352
52016,726.2956068
54011,704.2255322
53023,738.1801408
54013,718.3464407
54014,737.5016136
49014,718.6100339
50027,707.530259
49019,694.8917695
50001,679.6183729
96026,668.1517017
109003,742.4668312
109032,712.8856678
109006,723.5008597
96027,657.1708475
71019,779.9708746
109033,718.6204678
99028,703.8605288
109015,716.6257627
64035,778.3252475
58083,793.5591051
58084,782.9575322
58085,786.2546441
78056,752.450278
78117,766.198861
78048,738.1532746
78123,770.7689085
78128,773.7896136
54052,750.5615926
75080,760.2795458
76035,793.2917044
96023,665.2682847
74004,739.3086915
74013,752.940122
74014,777.8317947
96009,671.8628746
76005,799.4687186
75037,745.3566915
75038,755.7137085
70001,768.2303593
70005,780.3366102
79123,786.0869695
67043,781.6580542
79048,788.6820447
79096,796.1218169
79060,779.0914983
69094,758.5605153
108025,661.5172068
108026,672.5214915
108027,658.0560814
108028,660.6709627
56014,759.8587119
55004,769.1367748
56015,774.4432271
54030,734.8914915
72023,803.1422807
55032,753.730078
54040,736.6326712
54031,781.7171797
54047,759.8235661
54022,746.7200542
13170,676.260122
65144,764.7135132
65145,753.2732746
65147,766.5756529
7053,722.3874712
7054,705.3033356
13134,676.6463593
13135,654.2925559
13136,659.959078
13137,666.9717559
13138,669.2500068
65148,763.0503864
70043,761.7280271
45005,696.9236339
6086,644.0655051
6090,681.0223729
13139,673.3854915
65136,790.7122983
65137,755.909939
13044,675.5645288
13045,667.7394712
13046,659.1939254
13047,693.9062237
13048,659.0749424
46010,729.446278
6157,692.6944271
65138,782.0269017
70042,765.7214644
13024,659.368922
13178,677.1122237
13183,666.4317559
13184,681.3417966
66007,851.335078
45006,679.7131932
7024,687.0652475
7055,871.4137424
17057,668.1268068
17063,709.0425763
4215,695.9402847
4216,738.0696203
3121,660.6400271
21083,667.6966373
4197,719.3539525
6181,662.2197559
6183,675.428339
21080,726.3334983
4198,689.6345492
21026,754.0937085
21066,694.2920949
36034,678.8814102
37025,709.7225492
37051,729.5605017
40046,719.6661153
37037,698.5799826
40019,714.8501695
21068,813.1616542
21051,665.7383593
21067,680.8832542
4194,690.5265559
4195,713.581261
4196,687.5653424
6168,671.1683797
6172,685.620061
6175,663.9100475
6187,676.7755932
6188,656.3039186
7020,744.2356881
21025,698.4102508
21081,694.1510237
7014,709.7464678
7015,683.1340475
21063,707.5867119
6189,661.5948203
7001,756.8105492
7002,688.2624
7016,779.6757966
21082,748.7883458
21060,669.6981153
6177,653.5398508
13053,657.4373695
21024,728.0869424
21036,678.9319322
21038,677.9097763
21032,718.1960949
8020,705.502861
7062,818.6275525
7063,672.4512
7027,751.9911864
8028,694.2661749
7036,706.7995932
7037,647.7224949
7038,691.7762441
7045,780.8216949
8039,700.7708746
7064,831.4581966
6103,675.7863864
8029,722.9073356
7072,729.9485695
7073,674.3336949
8034,761.2557559
8040,706.6926915
8014,699.8592203
6104,694.177139
6160,679.2130983
7074,710.4950237
8003,716.4207458
6124,678.6485695
8007,720.8176271
8015,732.6734644
6155,696.2712407
8021,701.3210644
8022,698.9664814
12109,653.9906441
6135,674.2635864
6120,669.1145492
6097,678.200461
6149,672.3457627
21089,766.7245831
6140,675.5733153
6121,674.6595254
6102,712.0370441
6115,657.8492339
5044,688.0954576
4232,717.5728678
19109,665.9221424
16243,739.4197424
16244,673.9815051
18168,620.9677831
18169,646.6451797
18135,638.099878
18136,625.9482305
1095,685.116122
1096,680.0976
1214,678.2224271
1033,686.7159864
1034,689.0842983
1036,698.4576
1061,687.2684339
1071,684.5112
1072,684.5442712
1010,683.5524285
1019,872.1640678
1035,679.2987661
1073,876.3096203
1075,692.9160407
1001,683.5741017
4063,720.4696475
3082,679.5294102
3083,648.6952271
4019,715.9312678
4027,727.2822508
4060,682.801261
3084,670.9728814
4002,716.8489627
4026,715.8130169
4049,724.7592244
4208,700.8599593
5023,683.1318508
21102,698.0607458
21103,781.9309831
44071,749.5544136
45001,652.4609492
21113,725.7109424
22025,686.6437424
21117,714.4606373
22017,683.1413695
22018,684.9012203
44064,762.9116339
65151,753.1905356
70060,767.3586712
70076,788.6218576
70078,760.3790644
20050,675.5711186
20051,674.0979254
15007,647.348339
65152,766.1812881
65153,809.1184271
12117,657.6980339
13157,675.9628475
12110,681.8711797
12111,661.9382237
12113,663.8807593
12114,676.8802983
12115,683.5938712
6118,670.7301559
6119,685.8295322
7025,718.2292881
7026,812.8039729
6144,689.5357017
6145,642.3510508
7035,677.0011119
6154,667.7226305
28104,668.7015864
37001,705.5746169
37007,702.8702237
35039,689.5217898
35040,694.522739
28060,660.1309993
35032,684.842278
36017,725.8617763
28105,685.6110915
28106,666.4361492
29003,675.3258305
17026,649.3194305
36012,666.4942861
36018,730.371661
17027,698.1877098
17030,697.6602305
37044,728.2821966
37045,695.653261
37027,752.6413831
37028,692.0464271
37031,749.6347119
38005,677.2240271
39004,713.6914909
13026,688.9836203
13028,659.8346034
13029,659.8570576
13030,676.9242305
13032,680.6716475
65146,754.3625492
45008,643.2531254
7057,685.1800068
6092,684.9015864
13143,661.1716068
13144,689.5481492
1057,679.5682169
1070,679.2709424
34027,680.0343643
66009,792.0915864
6093,706.2861356
6158,683.1237966
8017,698.1742373
65139,780.3219661
65140,761.2525831
13052,692.0976814
23030,700.1218983
5055,682.1426441
5056,679.7307661
22009,702.324
22011,696.4848
66088,835.2690712
66089,789.9996203
66090,798.3823119
5015,667.2620746
21046,784.7364936
21044,693.8772285
17184,754.8116339
17185,713.2612881
17186,664.2871322
18017,678.3725288
14001,653.2718644
14002,669.3148068
20056,683.3784569
13245,665.6944271
34040,672.8872271
18002,650.7604068
18014,641.5880949
18015,637.5302237
18018,627.7699525
13246,677.6666847
13248,706.6780475
18076,629.6158373
51001,718.5939254
35021,672.8369492
35022,687.7425356
35023,685.7780339
35011,703.9590102
35012,682.3352136
35002,695.9725017
18023,651.4032814
17107,713.5732068
24084,695.368678
24086,677.3280407
25049,708.5129492
56040,749.2754441
18146,646.5363254
19084,657.6628881
19085,674.5775186
18143,676.6855322
65156,786.5087186
65157,770.1895525
12126,663.1851661
66010,787.2470237
66011,792.1017763
12136,672.6447458
18069,637.6839864
18144,631.7136
63088,784.2645153
63089,759.2268203
63090,758.5491661
63091,783.0948203
77024,792.2308881
76037,801.7319593
77005,804.3735661
77006,783.5956475
76053,792.1591322
76067,747.5287729
78023,779.3919946
78024,774.2714034
76083,778.1264542
77020,772.8880715
76070,737.8805288
78008,780.8561085
76038,806.3298305
78019,767.7679729
76041,789.6178373
78011,778.6114169
78004,790.4238102
78020,740.3265763
77011,766.9579119
78018,769.6971458
77002,774.9999458
77007,751.7898305
12116,660.8904407
17133,652.8138712
17156,666.1229125
18019,637.7268203
18020,667.6823593
17201,699.5822644
34036,673.8606915
17134,674.7085831
18008,650.3511051
18009,638.9056678
17157,705.0541668
17176,682.5292475
35013,707.122861
18011,644.2664949
30114,641.5419661
17177,679.0424949
17178,702.9599186
35014,692.1760271
8056,703.9732881
9019,687.3705763
9020,692.8481898
12106,664.6034441
8057,698.3715661
8058,698.0107119
10005,666.8051797
10045,702.2661559
19003,651.1809844
19004,656.1953695
30070,643.6719458
31013,641.2256542
30049,651.4765017
30126,673.5326644
30127,655.5848949
31004,645.1624678
31005,636.4209356
18115,656.1734034
18116,663.0427525
18162,652.3580746
18163,634.5560136
19108,676.3044936
18129,642.9126508
18110,625.2602034
16195,737.3024542
16197,705.3231051
18164,625.3280542
19040,686.9927593
19041,659.3469559
18130,639.5342644
18131,669.002522
18173,641.3475661
18174,656.891878
18153,657.5558034
18154,644.4599431
16198,665.0936542
16200,687.7005559
16106,680.511661
19043,651.254461
20031,670.5137898
18175,651.6176339
18176,637.7268203
63061,747.4892339
65115,754.0497763
65117,777.7274034
65118,780.8826142
68014,765.6636203
69054,759.9571932
70036,750.5297085
70026,785.7724881
68033,771.8009492
68034,753.760922
69055,753.9849763
69056,742.2909559
65038,755.1857898
70021,775.9086102
68035,767.617139
69078,749.6766915
68015,742.654861
68016,774.1670644
78055,788.8481085
78153,754.6348068
79039,777.5831593
78148,766.2208271
73006,760.964339
72020,775.0850906
52028,722.9090929
56009,756.0743186
56010,770.7936203
56011,762.8129695
72036,761.1818034
73010,776.8566305
73011,757.504678
50024,707.4246508
72032,744.7540881
30024,637.6510373
30116,676.0217898
30118,644.594522
30034,680.5056203
30005,685.5437288
30006,679.2226169
30007,675.3939254
24112,704.3309172
24113,707.6482169
30025,681.5024542
30060,661.1064407
30061,689.2193898
25028,654.3979932
25029,678.6493017
30051,691.5602441
80021,762.2142102
80024,751.554061
80063,750.2658336
80076,741.1077153
80032,745.9148136
38028,685.3204068
43017,747.6521492
