"msoa11cd","covid19","p80up","pblack50up","pasian50up","incomescore19","higheredu","pcarehm","pm251418","so21418","nox","countDays","allpop","la","utla","p5064","p6579","morbidity","pindian","ppakbang","pblack","pchinese","so21418.1","nox.1","pcareservice","psale_cust","pprocess_plant","pelementary","pbus","ptrain","ptube","personkm2","meanUVAJAN01APR17","meanUVAJAN01APR17_100","Meantempwinter"
"E02005790",2,8.322364,0.0914355,0.2133496,0.0618048,0.8680969,0.3476246,7.217,0.976,7.3,39,6837,"E07000167","E10000023",26.09332,19.1312,95.80756,0.1013905,0.0144844,0.1448436,0.202781,0.976,7.3,8.929646,4.60012,4.479856,12.14672,0.5914746,0.5506833,0.1019784,19.50008,396.5017998,3.965017998,3.31918124771302
"E02005791",0,4.516777,0.0351741,0.1055223,0.0973344,0.9050798,0,8.13,1.445,8.598,39,6974,"E07000167","E10000023",26.02524,18.71236,101.4868,0,0.0298998,0.0747496,0.0149499,1.445,8.598,9.004457,5.884101,9.063893,12.89747,1.216545,0.4663422,0.0405515,20.77598,395.1449648,3.951449648,3.5651933356855
"E02005794",2,6.217082,0,0.1573741,0.0519649,0.864831,0.0851245,7.984,1.321,8.919,39,9683,"E07000167","E10000023",27.48115,20.90261,97.50233,0.0532028,0.0106406,0.0532028,0.1383273,1.321,8.919,8.042028,5.03132,5.900182,9.294807,1.177138,0.9785846,0.1418239,33.78572,393.0936098,3.930936098,3.78713257825685
"E02005795",0,9.074942,0.0578704,0.1736111,0.1404379,0.9039679,1.320273,7.551,1.209,11.083,39,6832,"E07000168","E10000023",25.57084,20.87237,127.9311,0.0567859,0.4116979,0.0567859,0.1277683,1.209,11.083,10.21829,10.24992,10.50301,15.81778,1.723114,0.6932065,0.1188354,2597.685,387.6130286,3.876130286,4.5021849738227
"E02005796",1,6.565047,0,0.1461134,0.1025879,0.8826702,0,6.604,0.977,7.155,39,6626,"E07000168","E10000023",27.85995,23.31724,99.8864,0.0580467,0.1886519,0.1015818,0.0145117,0.977,7.155,9.331352,4.517087,7.667162,10.84695,1.394727,0.8597631,0.0191058,21.01988,394.6111543,3.946111543,3.07111391655352
"E02005797",1,4.448399,0,0.186846,0.1372194,0.9025971,0.6159831,7.536,1.132,9.391,39,6182,"E07000168","E10000023",25.29926,18.95827,119.1349,0.0810504,0.3728319,0.0324202,0.0162101,1.132,9.391,10.38344,9.365457,12.96233,17.0682,1.731227,0.8872538,0.0432807,901.239,390.5689371,3.905689371,4.55541391372681
"E02005798",2,7.851338,0,0.2367119,0.0747442,0.8822027,0.8093842,6.789,1.012,7.408,39,8368,"E07000168","E10000023",26.98375,25.21511,115.2281,0.1055719,0.0469208,0.0938416,0.4105572,1.012,7.408,8.790383,5.709992,5.960431,10.89406,1.641455,0.7080785,0.0321854,31.8998,393.6993943,3.936993943,3.63680188700838
"E02005799",2,9.375,0.0654593,0.4800349,0.078769,0.8622693,0.6117228,7.785,1.248,10.06,39,9152,"E07000168","E10000023",22.85839,22.70542,117.2726,0.4671338,0.0889779,0.1001001,0.3114225,1.248,10.06,10.1118,8.745341,6.161491,10.45963,2.867496,0.7405073,0.0472664,1372.46,395.5614171,3.955614171,4.52863759086246
"E02005800",2,4.406909,0.3164557,0.7735584,0.2351005,0.9219204,0.1489388,8.057,1.504,13.266,39,7874,"E07000168","E10000023",23.83795,14.79553,143.9013,0.1861735,0.9681023,0.5336974,0.3599355,1.504,13.266,9.486824,10.98474,8.016644,18.41886,3.024453,0.8526384,0.0160875,4007.067,391.6964571,3.916964571,4.88507318496704
"E02005801",0,6.083992,0.2307337,0.6460544,0.2540968,0.9305089,1.28,8.19,1.586,13.035,39,5572,"E07000168","E10000023",21.21321,14.98564,145.754,0.2133333,0.1244444,0.1777778,0.3377778,1.586,13.035,13.09468,11.39896,8.478568,17.71079,3.548304,0.4662005,0.0259,4044.691,395.5614171,3.955614171,4.51092831293742
"E02005802",5,3.393582,0.0427716,0.9409752,0.1468284,0.9184376,0.7418931,9.84,2.096,17.525,39,8133,"E07000168","E10000023",19.84508,11.68081,118.8148,0.6820629,0.1794903,0.2153883,0.2393203,2.096,17.525,12.30322,12.30322,8.525066,15.30637,3.221543,0.6277879,0.0330415,9732.741,385.7735314,3.857735314,4.67613355318705
"E02005803",2,8.482924,0.0758342,0.8341759,0.1592826,0.9032921,2.28974,7.968,1.388,10.952,39,9136,"E07000168","E10000023",23.2268,17.44746,138.1745,1.673272,0.5284016,0.3522677,0.2311757,1.388,10.952,12.27508,9.440474,7.542519,13.03919,2.794255,0.640025,0.0624415,1612.744,388.4749714,3.884749714,4.17201892534892
"E02005804",4,9.17156,0.3120936,0.7022107,0.1963781,0.8903975,4.853659,8.228,1.519,13.909,39,8003,"E07000168","E10000023",25.328,18.60552,133.5622,0.7560976,0.4878049,1.036585,0.9512195,1.519,13.909,11.0284,9.897987,6.727323,14.86077,3.211957,0.7632374,0.0636031,2721.814,385.7735314,3.857735314,4.50840791066488
"E02005805",2,7.84868,0,0.2222222,0.0908025,0.8951067,0,8.594,1.451,10.577,39,7428,"E07000168","E10000023",24.12493,23.38449,111.0916,0.0705816,0.1552795,0.1835121,0.1835121,1.451,10.577,10.71879,9.993695,9.836065,12.26356,4.495448,0.4172989,0.0379363,315.1186,388.85568,3.8885568,4.32099719842275
"E02005806",1,4.637527,0.1215559,0.3241491,0.2378895,0.9286203,0.4465532,8.621,1.494,10.934,39,7504,"E07000168","E10000023",20.24254,13.60608,137.1305,0.0697739,0.0139548,0.0558191,0.1255931,1.494,10.934,11.63661,11.67064,12.07894,16.97856,5.29259,0.5392451,0.0399441,956.546,379.8506057,3.798506057,4.28975363130923
"E02005807",1,7.413875,0,0.1323627,0.0667786,0.8860216,0.3544956,7.963,1.288,8.394,39,6299,"E07000168","E10000023",25.21035,22.03524,115.8301,0.0644538,0.0161134,0.0322269,0.0966806,1.288,8.394,9.462999,6.843484,6.450557,10.21611,2.436882,0.7025247,0.0658617,62.64383,396.1331383,3.961331383,4.07860890532687
"E02005808",2,8.635074,0.0161316,0.0967898,0.1366221,0.9063843,0,8.252,1.359,8.848,39,11627,"E07000168","E10000023",24.48611,26.37826,118.7868,0.0614358,0,0.0263296,0.1579779,1.359,8.848,11.42857,9.450549,7.846154,13.05494,0.9916556,1.064216,0.0483734,148.904,398.6472686,3.986472686,3.70411632131424
"E02005809",1,5.838343,0.1653986,0.1984783,0.0669983,0.8914447,0.1239499,8.665,1.456,17.407,39,7485,"E07000169","E10000023",25.8517,16.49967,117.5625,0.0964055,0.0137722,0.7850158,0.1652665,1.456,17.407,8.583465,8.504476,9.320695,11.21643,3.889096,0.4279866,0.0372162,269.8495,401.3086629,4.013086629,4.04191575163887
"E02005810",1,4.396662,0,0.1498801,0.0380704,0.8764005,0.3505994,8.512,1.541,13.769,39,9348,"E07000169","E10000023",24.91442,14.96577,101.0435,0.1583352,0.1130966,0.2148835,0.067858,1.541,13.769,6.242065,5.014812,5.374524,6.982649,1.303481,2.944334,0.0613403,62.86582,404.0428408,4.040428408,4.09670537001603
"E02005811",2,5.043606,0.0850581,0.2835271,0.0498556,0.9074891,1.218575,8.554,1.899,11.625,39,9517,"E07000169","E10000023",23.71546,16.85405,110.4222,0.2085849,0.0329345,0.1756505,0.0658689,1.899,11.625,9.11366,7.883212,6.652763,8.905109,3.463856,1.28012,0.0301205,104.3053,397.67616,3.9767616,4.12157609286132
"E02005812",1,4.304828,0.1253526,0.4073958,0.0697268,0.9005968,0.3102493,8.894,1.861,17.451,39,10314,"E07000169","E10000023",21.55323,13.05022,115.7168,0.132964,0,0.2770083,0.299169,1.861,17.451,9.120389,6.607215,8.12728,11.00527,1.225997,3.589365,0.1033973,267.6681,402.6492343,4.026492343,4.11598355749733
"E02005813",1,4.333562,0.1963993,0.8510638,0.1812159,0.9474857,0.6889583,9.164,2.695,16.81,39,13107,"E07000169","E10000023",17.7081,9.002823,147.3846,0.4317472,0.0183722,0.1837222,0.5236083,2.695,16.81,10.51268,9.994448,15.13974,18.60078,3.267893,2.000497,0.0124254,1741.009,397.3037349,3.973037349,4.21536895206996
"E02005814",0,7.670807,0,0.2100105,0.0967466,0.9127527,1.807417,8.875,1.938,13.959,39,6440,"E07000169","E10000023",22.56211,18.89752,118.6904,0.3116236,0,0.0467435,0.171393,1.938,13.959,10.38576,9.891197,11.77052,11.0122,2.299606,1.752081,0.065703,488.5147,402.6659657,4.026659657,4.16539783966847
"E02005815",1,5.156844,0.0288184,0.4899136,0.0498858,0.8938807,0,8.984,2.126,14.737,39,8416,"E07000169","E10000023",25.36835,18.4173,110.8708,0.2069637,0,0.036523,0.1582664,2.126,14.737,9.010271,9.197012,8.590103,9.056956,2.024747,1.992608,0.0321388,249.7806,399.1397486,3.991397486,4.22373729041128
"E02005816",5,4.059854,0.0948767,0.2530044,0.0682312,0.9078649,0.3327391,8.868,2.049,13.602,39,8621,"E07000169","E10000023",25.24069,16.20462,116.1395,0.1188354,0,0.1901367,0.2376708,2.049,13.602,9.137394,7.092041,9.82659,9.270787,1.273682,1.24184,0.0318421,112.7251,400.7542629,4.007542629,4.2400601271427
"E02005817",0,4.746182,0.140647,0.140647,0.0674521,0.8995342,0.2526316,9.162,2.074,18.308,39,7269,"E07000169","E10000023",24.83148,17.14128,96.98914,0.1263158,0.0140351,0.6175439,0.0982456,2.074,18.308,7.204533,6.691851,7.663249,9.363194,1.763271,1.594448,0.0375164,145.5254,411.6378514,4.116378514,4.31790877686066
"E02005818",1,5.052975,0.0307692,0.3692308,0.0629101,0.9125463,0.4169733,9.253,2.065,17.196,39,8589,"E07000169","E10000023",25.82373,15.77599,98.05286,0.2452784,0.0245278,0.1103753,0.1349031,2.065,17.196,8.6151,6.160259,9.495136,9.773043,1.201251,1.003785,0.0493665,76.5036,398.1616457,3.981616457,4.34112295082637
"E02005819",4,5.233202,0.1196649,0.4387714,0.1709298,0.9140981,0,9.434,2.169,18.77,42,6325,"E07000170","E10000024",23.68379,17.92885,130.1138,0.2440612,0.3091442,0.130166,0.0976245,2.169,18.77,11.49382,9.659304,11.00711,15.83677,3.019694,0.5032822,0.0875273,400.265,402.6289371,4.026289371,3.80350342775003
"E02005820",0,5.413614,0.1261034,0.3783102,0.100588,0.9120722,0.5761173,9.51,3.06,21.451,42,5597,"E07000170","E10000024",23.97713,19.86779,127.0229,0.1920391,0.1571229,0.2967877,0.1920391,3.06,21.451,11.0436,9.077912,11.43674,12.75911,2.860412,0.3432494,0.1601831,4067.995,407.9026286,4.079026286,3.89154775937398
"E02005821",3,3.119161,0.0912409,0.1368613,0.1825314,0.9534467,0.6261741,9.7,2.737,23.444,42,6957,"E07000170","E10000024",19.56303,13.98591,133.9059,0.0782718,0.0782718,0.2817783,0.0782718,2.737,23.444,10.94084,8.873842,14.43336,16.39344,3.820704,0.2774813,0.0640341,1401.996,400.9198629,4.009198629,3.79147036870321
