msoa,meanUVAJAN01APR17
E02000759,429.5511771
E02000760,430.1424
E02000762,430.1424
E02000763,421.9296
E02000764,420.8467886
E02000765,430.1424
E02000767,422.7936
E02000768,420.5592686
E02000769,421.4565257
E02000770,419.4148114
E02000772,419.4148114
E02000773,420.1786286
E02000774,408.096
E02000776,410.2148571
E02000777,416.0633143
E02000779,410.2148571
E02000780,410.2148571
E02000781,408.096
E02000782,410.2148571
E02000783,410.2148571
E02000784,417.4727314
E02000785,413.2660114
E02000786,419.2021029
E02000787,413.7010971
E02000788,419.2021029
E02000789,422.1948343
E02000790,423.9754971
E02000791,422.1948343
E02000792,423.9754971
E02000793,422.41536
E02000794,425.75616
E02000795,419.2021029
E02000796,422.41536
E02000797,423.9754971
E02000798,422.41536
E02000799,425.75616
E02000800,423.9754971
E02000801,423.9754971
E02000802,418.8133029
E02000803,421.03728
E02000804,420.3061029
E02000805,420.7782857
E02000806,420.8700343
E02000807,421.4962286
E02000808,420.3162514
E02000809,420.90624
E02000810,420.90624
E02000812,420.3162514
E02000813,421.4962286
E02000814,421.4962286
E02000815,420.3162514
E02000816,421.4962286
E02000817,421.4962286
E02000818,420.3162514
E02000819,420.90624
E02000820,420.3162514
E02000821,420.90624
E02000822,420.3162514
E02000823,420.3162514
E02000824,420.90624
E02000825,419.5962514
E02000826,418.3706057
E02000827,418.3706057
E02000828,420.8218971
E02000829,420.8218971
E02000830,418.9629257
E02000831,418.2862629
E02000832,420.1475657
E02000833,416.42496
E02000834,418.2862629
E02000835,420.1475657
E02000836,418.2862629
E02000837,418.2862629
E02000838,418.2862629
E02000839,418.3304229
E02000840,416.1447771
E02000841,416.1447771
E02000842,422.8638171
E02000843,419.6020114
E02000844,421.2329143
E02000845,421.2164571
E02000846,422.8638171
E02000847,422.0401371
E02000848,420.8354743
E02000849,419.6020114
E02000850,422.7376457
E02000851,424.2593829
E02000852,424.7034514
E02000853,424.2593829
E02000854,426.3210514
E02000855,420.5190857
E02000856,428.38272
E02000857,424.2593829
E02000858,428.6958171
E02000859,428.38272
E02000860,424.2593829
E02000861,426.3210514
E02000863,427.3090971
E02000864,421.68384
E02000865,423.5747657
E02000866,422.5354971
E02000867,421.68384
E02000868,423.5747657
E02000869,420.3949714
E02000870,422.5354971
E02000871,417.3272229
E02000872,420.3752914
E02000873,422.5354971
E02000874,422.5354971
E02000875,419.93136
E02000876,422.5354971
E02000877,419.9775086
E02000878,420.90624
E02000879,421.4962286
E02000880,421.4962286
E02000881,414.8615314
E02000882,421.4962286
E02000883,414.8615314
E02000884,421.4962286
E02000885,421.4962286
E02000886,418.17888
E02000887,418.17888
E02000888,421.4962286
E02000889,421.4962286
E02000890,420.90624
E02000891,414.8615314
E02000893,414.8615314
E02000894,418.17888
E02000895,420.8465829
E02000896,421.5604114
E02000897,420.8465829
E02000898,420.8465829
E02000899,423.0986057
E02000900,424.656
E02000901,421.7093486
E02000902,421.7093486
E02000903,424.656
E02000904,421.7093486
E02000905,424.656
E02000906,424.656
E02000907,421.7093486
E02000908,427.6026514
E02000909,421.7093486
E02000910,423.0349714
E02000911,424.656
E02000912,423.16992
E02000913,420.7511314
E02000914,420.7511314
E02000915,420.7511314
E02000916,421.68384
E02000917,419.7929143
