"codcom","marapr1519deaths","marapr20deaths","meanwintertemp","deathsdiffnegativetozero","Provincia","meanUVAJAN01APR30","z_percfore","z_perc65","z_perc85","z_densityinhabitants","z_deprivationn","z_superficietotalekm2","logpop","z_totale_casi","z_pm2point52016"
"19060",1.6,4,13978,2.4,"Cremona",659.0991051,0.324892135848589,-0.159690949534894,-0.157641914542687,-0.317878402592616,-0.772735801557985,-0.566402988933371,6.71174039505618,0.69137234936312,1.72070697965291
"19061",3.4,8,13957.3333333333,4.6,"Cremona",671.5000678,0.324892135848589,0.885881659369811,-0.154549238845527,-0.380481826570199,-1.53534467851471,-0.403547390156089,6.88755257166462,0.69137234936312,1.4532054780915
"19049",1.4,5,13979.6666666667,3.6,"Cremona",639.1952542,-0.225128850062268,-0.159690949534894,-0.160557865914296,-0.36676696365572,-0.331225399109354,-0.544284379964822,6.45519856334012,0.69137234936312,1.63341670363877
"19022",5.4,34,13982,28.6,"Cremona",650.2339525,0.324892135848589,0.885881659369811,-0.138445234679598,-0.263382660006465,-0.595709142585759,-0.48556240925186,7.4265490723973,0.69137234936312,1.57012872805469
"19023",1,2,13992,1,"Cremona",684.9447864,0.324892135848589,-0.159690949534894,-0.16168448348969,-0.389756407900211,-1.10946670179871,-0.514727654705964,6.35610766069589,0.69137234936312,1.50592676816268
"19012",4.4,11,13982,6.6,"Cremona",664.3746305,-0.775149835973125,-0.682477253987246,-0.126604704867613,-0.00637673717039058,-0.713586082569651,-0.592044916144698,7.64730883235624,0.69137234936312,1.81889230771343
"19025",19,94,13980.6666666667,75,"Cremona",652.2028475,-0.225128850062268,-0.682477253987246,0.0352085057159597,-0.151087484098964,0.185912144045789,0.156464470543194,9.15967845717396,0.69137234936312,1.64601796863569
"19054",3.4,8,13986,4.6,"Cremona",646.7742915,-0.775149835973125,-0.682477253987246,-0.130360096785593,0.0354952697165765,-0.63795894186314,-0.604768009799173,7.63433723562832,0.69137234936312,1.77665813586262
"19027",0.6,0,13973.3333333333,0,"Cremona",666.4559186,-0.225128850062268,0.363095354917459,-0.168024468668869,-0.41941385179373,-0.529799455713044,-0.534888864650748,5.79909265446053,0.69137234936312,1.5507205993106
"19001",4.8,22,13964.6666666667,17.2,"Cremona",667.4773424,0.508232464485542,0.885881659369811,-0.148363887451206,-0.256578269455525,-0.163071197985378,-0.545458819379081,7.17165682276851,0.69137234936312,1.51350727537551
"19029",1.8,9,14001,7.2,"Cremona",659.8031186,-1.32517082188398,-0.682477253987246,-0.12410847376919,0.0774278947821711,-0.523461985821437,-0.604768009799173,7.71423114484909,0.69137234936312,1.77395091513385
"19030",1.6,1,13980,0,"Cremona",675.9474712,-0.591809507336173,-0.159690949534894,-0.153798160461931,-0.262821941854161,-0.335872877029866,-0.589696037316179,6.86171134048073,0.69137234936312,1.42161337655184
"19031",7,52,13976,45,"Cremona",677.0430305,1.0582534503964,2.45424057272687,-0.147325632038588,-0.325986083984048,0.090427597678908,-0.444848509557539,7.22329567956231,0.69137234936312,1.45042696171518
"19032",1.2,9,13971,7.8,"Cremona",667.8046373,-0.775149835973125,-0.682477253987246,-0.15037412665436,-0.338261265156123,0.0325453726688961,-0.474405234816397,7.02375895473844,0.69137234936312,1.45018801184107
"19033",2.6,15,13967.6666666667,12.4,"Cremona",674.7127322,0.141551807211637,-0.159690949534894,-0.144012050934487,-0.364993881930864,-1.00088471765584,-0.326425868619732,7.26052259808985,0.69137234936312,1.40997961854359
"19062",10.8,51,13996,40.2,"Cremona",649.5398237,-0.40846917869922,-0.682477253987246,-0.0398772421029567,0.236141440973704,-0.0912465392138301,-0.479690212180563,8.67743954055833,0.69137234936312,1.85478350585701
"19035",64.4,293,13988,228.6,"Cremona",654.4283797,0.141551807211637,-0.159690949534894,0.587560385228813,0.982108747164101,0.373923750830134,-0.050236866366433,10.4070166210695,0.69137234936312,2.17553572823229
"19036",143.8,541,13974.6666666667,397.2,"Cremona",677.923322,0.324892135848589,0.363095354917459,1.43126440595487,1.02531435398087,0.446170907594456,0.653839562481984,11.1503617878549,0.69137234936312,1.94371923712958
"19052",5.6,23,13942.6666666667,17.4,"Cremona",671.8888678,-0.0417885214253157,-0.159690949534894,-0.114410726404523,-0.298086567270727,-0.393332604047104,-0.232079235674239,7.96311205897929,0.69137234936312,1.45849464989198
"19038",1.6,9,13968.3333333333,7.4,"Cremona",660.1824,0.141551807211637,-0.159690949534894,-0.159917240234169,-0.394060298582765,-0.442342371208866,-0.472643575695008,6.4831073514572,0.69137234936312,1.49915845815123
"19039",1.2,3,13979.6666666667,1.8,"Cremona",651.1741017,-0.775149835973125,0.363095354917459,-0.164622525401992,-0.370661681632538,0.708119663114217,-0.593415095461333,6.10255859461357,0.69137234936312,1.6567629781718
"19040",0.2,3,13959,2.8,"Cremona",686.9927593,0.691572793122493,0.363095354917459,-0.167516386232907,-0.423641969753001,-1.44070512813338,-0.530386846896087,5.73657229747919,0.69137234936312,1.44439709025275
"19056",2.2,12,13967.3333333333,9.8,"Cremona",681.6097831,-1.32517082188398,-0.682477253987246,-0.13630245223228,-0.257123833063173,-1.62871673491772,-0.514140434998834,7.32974968904151,0.69137234936312,1.49834626094986
"19043",1.4,5,13981.3333333333,3.6,"Cremona",651.254461,-1.14183049324703,-1.2052635584396,-0.147767442852468,-0.24872821532326,-0.062516675705211,-0.565620029323865,7.09007683577609,0.69137234936312,1.69182890283774
